	name	m	n	noise_mean	noise_sd	num	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
94	Buenrostro2018	5000	1974	-1	1	4	scOpen	10	1	1	0	0.6065513280102474	0.24328252502860082	0.8559652346991491	0.8467969139746712
95	Buenrostro2018	5000	1974	-1	1	4	scOpen	20	1	1	0	0.6076602051601834	0.2436391153842067	0.8530365374184592	0.8441803574898945
96	Buenrostro2018	5000	1974	-1	1	4	scOpen	30	1	1	0	0.6084353174905964	0.24409751745470518	0.8509151815687399	0.8423136154863755
97	Buenrostro2018	5000	1974	-1	1	4	scOpen	40	1	1	0	0.6091393405112591	0.24447795509257042	0.8490434549408798	0.8406601025168774
98	Buenrostro2018	5000	1974	-1	1	4	scOpen	50	1	1	0	0.6097162021369564	0.24476835194817018	0.8474227646038279	0.8393070238241482
99	Buenrostro2018	5000	1974	-1	1	4	scOpen	100	1	1	0	0.6122321425115715	0.24538805987720566	0.8375558389704786	0.8335523990397755
100	Buenrostro2018	5000	1974	-1	1	5	X	0	1	1	0	0.6638874414059214	0.20423465045592704	0.7399052777475995	0.842022602975563
101	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	5	1	1	0	0.6096616098769305	0.23842337283110768	0.8555890905276435	0.8182315798002614
102	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	5	1	1	1	0.6099872629544676	0.23857249156232085	0.8540761868117267	0.8161440876050312
103	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	8	1	1	0	0.6097306481952318	0.23709881766025775	0.8559980942638467	0.8246361481993676
104	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	8	1	1	1	0.6095998002142335	0.2374820410493473	0.8551329603161264	0.8215913083356243
105	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	10	1	1	0	0.6098841369510137	0.23659573484661012	0.8557370572545198	0.8199965800360414
106	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	10	1	1	1	0.6093151026860274	0.23682285508645168	0.855964173789924	0.8207266363951133
107	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	20	1	1	0	0.6116232159927434	0.23653558942380873	0.850784114450733	0.8096634225803925
108	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	20	1	1	1	0.6108777103699328	0.23633399470673705	0.8527113802141673	0.8073286878013272
109	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	30	1	1	0	0.6132358990895038	0.23650260425063505	0.8457351773594514	0.8019828249303415
110	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	30	1	1	1	0.6123898061803891	0.23629927710473783	0.8484478873436185	0.8045416945120647
111	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	40	1	1	0	0.6147388345681056	0.23651632229930253	0.8408595098424284	0.7928439178113917
112	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	40	1	1	1	0.6138115260239206	0.236308020855288	0.8441878478259754	0.7958845061597126
113	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	50	1	1	0	0.6161022630460234	0.23654015893310606	0.8362730310834585	0.7850203958287993
114	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	50	1	1	1	0.6151256672026914	0.23632019699298526	0.8400328358171542	0.7845476151871709
115	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	100	1	1	0	0.6214682625783927	0.2368519847340227	0.8183290177234046	0.7640367722009942
116	Buenrostro2018	5000	1974	-1	1	5	S_lsi_M	100	1	1	1	0.6203903403563622	0.2365588084889077	0.8229935629930677	0.7698669347385587
117	Buenrostro2018	5000	1974	-1	1	5	scOpen	5	1	1	0	0.6065057359715393	0.2449634313273465	0.8555148334887145	0.8463734464169281
118	Buenrostro2018	5000	1974	-1	1	5	scOpen	8	1	1	0	0.606472177279489	0.2436664761124762	0.8560855672435472	0.8468882796633632
119	Buenrostro2018	5000	1974	-1	1	5	scOpen	10	1	1	0	0.6065773037577914	0.24321266234548633	0.8559326960508294	0.8467677734553671
120	Buenrostro2018	5000	1974	-1	1	5	scOpen	20	1	1	0	0.6076546455213547	0.24365066343587943	0.8530205158361386	0.844183451893894
121	Buenrostro2018	5000	1974	-1	1	5	scOpen	30	1	1	0	0.6084618063799304	0.24410104935019047	0.8508924165728059	0.8422626932325106
122	Buenrostro2018	5000	1974	-1	1	5	scOpen	40	1	1	0	0.6091121924647555	0.2444506744814833	0.8491103248551215	0.84072168665926
123	Buenrostro2018	5000	1974	-1	1	5	scOpen	50	1	1	0	0.6097043700459511	0.24473964135055015	0.8475509379071182	0.8393944211553173
124	Buenrostro2018	5000	1974	-1	1	5	scOpen	100	1	1	0	0.6122889960528062	0.24546200274732016	0.8376334293672114	0.8334161973102381
125	Buenrostro2018	5000	1974	-2	2	1	X	0	1	1	0	0.6638874414059214	0.20423465045592704	0.7399052777475995	0.842022602975563
126	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	5	1	1	0	0.6096617947336614	0.23842314996703662	0.8555890734139118	0.8182315676561032
127	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	5	1	1	1	0.6099872625044045	0.2385724930612582	0.8540761927711661	0.816144090310142
128	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	8	1	1	0	0.6097306057320369	0.2370988679731672	0.8559981009488289	0.8246361527648469
129	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	8	1	1	1	0.6095998000342467	0.23748204169217613	0.8551329627020027	0.8215913094585608
130	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	10	1	1	0	0.6098841491700175	0.2365957204897716	0.8557370547102765	0.8199965783465935
131	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	10	1	1	1	0.6093151029026096	0.23682285468730155	0.8559641710991515	0.8207266351503488
132	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	20	1	1	0	0.6116212216267908	0.23653254380800595	0.8507884130644212	0.8109196429630952
133	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	20	1	1	1	0.6108746825829042	0.23632810862486345	0.8527014019544857	0.8085030520783791
134	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	30	1	1	0	0.6132371424125278	0.23650305591944396	0.8457206216922838	0.7988900363286136
135	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	30	1	1	1	0.6123943456335089	0.23630642153112158	0.8484354559847984	0.8048190978859293
136	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	40	1	1	0	0.6147364888987961	0.23651957840869595	0.840854378822939	0.7898629166853499
137	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	40	1	1	1	0.6138100657496747	0.23630473155986095	0.8441875638793587	0.7979665515859056
138	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	50	1	1	0	0.6160954674172976	0.2365366662599611	0.8362887371448713	0.7866475631229173
139	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	50	1	1	1	0.6151285081936935	0.23632297189502022	0.8400225288209854	0.7850852357992175
140	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	100	1	1	0	0.6214743568039263	0.23686242297669247	0.818318207110287	0.7633025177499535
141	Buenrostro2018	5000	1974	-2	2	1	S_lsi_M	100	1	1	1	0.6203930783425897	0.2365614997029961	0.8229888641439996	0.7690831107943906
142	Buenrostro2018	5000	1974	-2	2	1	scOpen	5	1	1	0	0.6064811414407125	0.24501470134412967	0.8555445924919834	0.8464108314868899
143	Buenrostro2018	5000	1974	-2	2	1	scOpen	8	1	1	0	0.6065047724304179	0.24361706395572547	0.8560104370137658	0.846851687409208
144	Buenrostro2018	5000	1974	-2	2	1	scOpen	10	1	1	0	0.6066543686141311	0.24348108554351164	0.8556345164232486	0.8465147124413289
145	Buenrostro2018	5000	1974	-2	2	1	scOpen	20	1	1	0	0.6076658217677977	0.24365733742701626	0.8529736852773926	0.8441429755794614
