	version	m	n_cl	n_incl	sparse_rate	hetero_rate	drop_rate	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
90	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	50	1	1	0.1	0.3549130702983202	0.15624222619243266	0.9068927907584067	0.8740839109640075
91	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	50	1	1	1	0.3609646806228299	0.14814434840780352	0.9001539063333135	0.8859397043487413
92	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	50	1	1	1	0.3458204539745534	0.1520798423328224	0.9314173223028971	0.9002492227150151
93	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	5	1	1	0	0.3027200006452344	0.1710714169425	0.9298630828064163	0.8882241643036649
94	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	8	1	1	0	0.28038247429217866	0.14694633011	0.9639906378285426	0.9334971677839916
95	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	10	1	1	0	0.285703532503156	0.15033140348500001	0.9558272719588508	0.924389189269668
96	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	20	1	1	0	0.30758741839603776	0.16333006672375	0.9272515582283414	0.8908607547910199
97	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	30	1	1	0	0.3177114505106687	0.1667084156125	0.9110041952258684	0.875109031398289
98	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	40	1	1	0	0.32304150554975986	0.16661146553875	0.9085950813349591	0.87048835706733
99	v1	100	8	10	0.3	0.2	0.5130963210013482	scOpen	50	1	1	0	0.32841529406711234	0.16576663516	0.912116915975038	0.8707776999541911
100	v1	100	8	10	0.3	0.2	0.48058278471951954	X	0	1	1	0	0.3741137393992542	0.14550000000000002	0.758606387391124	0.831356387391124
101	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	5	1	1	0	0.3011448629749733	0.16090057384908105	0.9354096551122261	0.8952549046214877
102	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	5	1	1	0	0.3011448629749733	0.16090057384908105	0.9354096551122261	0.8952549046214877
103	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	5	1	1	0.1	0.29966104763530826	0.15818615292261576	0.9395208740520188	0.900292060949404
104	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	5	1	1	0.1	0.299445000096211	0.15820100917785354	0.939470930003453	0.900596531748265
105	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	5	1	1	1	0.29340555760210385	0.15023376237155425	0.9504816261188525	0.9169841741145021
106	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	5	1	1	1	0.3002048546976078	0.15827694190475933	0.9358505801709956	0.89900116954047
107	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	8	1	1	0	0.28371797395963494	0.14085343060447136	0.9641019544301004	0.934218656349404
108	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	8	1	1	0	0.28371797395963494	0.14085343060447136	0.9641019544301004	0.934218656349404
109	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	8	1	1	0.1	0.2800667194016019	0.13599855889744067	0.9695307166659282	0.9412249028842788
